pseudo_subid,exp_subid,exp_cond,movName,recalled_eventNo,precision,condition
48,9,Ordered,3Iron,71,0.625961691,Interrupted
48,9,Ordered,3Iron,74,0.692063421,Interrupted
38,5,Full,3Iron,1,0.706036001,Uninterrupted
38,5,Full,3Iron,5,0.73346135,Uninterrupted
38,5,Full,3Iron,6,0.762017608,Uninterrupted
38,5,Full,3Iron,7,0.653892338,Uninterrupted
38,5,Full,3Iron,8,0.698990226,Uninterrupted
38,5,Full,3Iron,10,0.681047782,Uninterrupted
38,5,Full,3Iron,11,0.688339621,Uninterrupted
38,5,Full,3Iron,12,0.55325561,Uninterrupted
38,5,Full,3Iron,19,0.681563646,Uninterrupted
38,5,Full,3Iron,25,0.563479774,Uninterrupted
38,5,Full,3Iron,26,0.80474937,Uninterrupted
38,5,Full,3Iron,29,0.682030484,Uninterrupted
38,5,Full,3Iron,30,0.764228135,Uninterrupted
38,5,Full,3Iron,31,0.739638358,Uninterrupted
38,5,Full,3Iron,34,0.607856214,Uninterrupted
38,5,Full,3Iron,35,0.591714352,Uninterrupted
38,5,Full,3Iron,40,0.636093676,Uninterrupted
38,5,Full,3Iron,39,0.746046975,Uninterrupted
38,5,Full,3Iron,41,0.795455694,Uninterrupted
38,5,Full,3Iron,42,0.632505089,Uninterrupted
38,5,Full,3Iron,44,0.596634224,Uninterrupted
38,5,Full,3Iron,46,0.675062299,Uninterrupted
38,5,Full,3Iron,49,0.65173094,Uninterrupted
38,5,Full,3Iron,51,0.665708706,Uninterrupted
38,5,Full,3Iron,55,0.832845569,Uninterrupted
38,5,Full,3Iron,56,0.733149171,Uninterrupted
38,5,Full,3Iron,57,0.569481552,Uninterrupted
38,5,Full,3Iron,59,0.615469217,Uninterrupted
38,5,Full,3Iron,62,0.75493148,Uninterrupted
38,5,Full,3Iron,64,0.518056165,Uninterrupted
38,5,Full,3Iron,65,0.742349178,Uninterrupted
38,5,Full,3Iron,66,0.561934829,Uninterrupted
38,5,Full,3Iron,68,0.554668695,Uninterrupted
38,5,Full,3Iron,69,0.745798081,Uninterrupted
38,5,Full,3Iron,70,0.630194023,Uninterrupted
38,5,Full,3Iron,71,0.696279004,Uninterrupted
38,5,Full,3Iron,74,0.843959749,Uninterrupted
24,13,Full,3Iron,1,0.790150464,Uninterrupted
24,13,Full,3Iron,3,0.623249292,Uninterrupted
24,13,Full,3Iron,4,0.711504042,Uninterrupted
24,13,Full,3Iron,5,0.734763831,Uninterrupted
24,13,Full,3Iron,6,0.668180421,Uninterrupted
24,13,Full,3Iron,7,0.689909816,Uninterrupted
24,13,Full,3Iron,10,0.644769996,Uninterrupted
